Training loss,Validation loss,Accuracy,Precision,Recall,F1-score,CSI-score
0.22191839,0.17013,0.9223507500000001,0.6218170038577173,0.6458033109907384,0.6335809384594467,0.4638657184978625
0.18018526,0.1641152,0.9238870625,0.6381384707875506,0.6189658615845162,0.6284056650366543,0.45835863771449026
0.17983128,0.16047834,0.9249128125,0.6547186347839481,0.5880113897292423,0.6195745368986545,0.44904640279732466
0.17678063,0.16615699,0.9256835,0.6493515601568082,0.6203364493477347,0.6345103929032396,0.4648485029015097
0.17421037,0.16726485,0.92704225,0.6898710068169825,0.5425893038121785,0.6074134506612592,0.43635468715228964
0.1745425,0.1595568,0.9272781875,0.684868059546041,0.5576492128865664,0.6147079988884987,0.44388649202115693
0.17459895,0.1580593,0.927416875,0.6812439207908139,0.5685585273684579,0.6197591147151855,0.44915264684379436
0.1746696,0.1548606,0.9279610625,0.6757374490651227,0.591953223688408,0.6310063721448218,0.46106177513075747
0.17190768,0.15636906,0.9275509375,0.650958209264662,0.655094059254824,0.6529690429491051,0.4848759701497304
0.1762088,0.15855715,0.92759325,0.6982066776554172,0.5358213754972174,0.6062864792957949,0.43518154388086294
0.17231297,0.15387627,0.928712,0.6879717931220686,0.5764497326115892,0.6272405986616307,0.45706606241854225
0.17216723,0.15593922,0.927539625,0.7123461286425603,0.5087407087276574,0.5935624903354386,0.42222723036301535
0.17145506,0.15756914,0.926767625,0.7269210840793302,0.47348793834708713,0.5734512511183063,0.402207328528291
0.17084754,0.15492147,0.927300625,0.6432373947523656,0.6765823701840725,0.6594473826037957,0.49204579647403196
0.17082357,0.15395552,0.9291740625,0.6837648331977659,0.59448742166338,0.6359440933289704,0.46635569252534304
0.17027242,0.15354106,0.929081625,0.6871201574880901,0.58432063089554,0.6315360592451891,0.4616267730286299
0.17034383,0.1548061,0.9287476875,0.7210538141295262,0.51367511752593,0.5999434357773454,0.4287148397171532
0.16979373,0.15546253,0.928262125,0.6495081020759526,0.6748481520903233,0.6618925839698799,0.4947857938967466
0.17250524,0.15190029,0.929939,0.6902143161788026,0.5927032275300417,0.6377100178406235,0.4682542528427986
0.17144361,0.15474035,0.9295461875,0.7037866301069429,0.5575262624078421,0.6221348737167827,0.45166429417389264
0.17053887,0.15608633,0.927772125,0.7460587941866967,0.4628984238141106,0.5712940222201198,0.39998498622067535
0.17138326,0.16093141,0.9274850625,0.6355124368138461,0.7106315276263192,0.6709393435953657,0.5049411888293356
0.16975413,0.15146673,0.9307898125,0.7071218458730704,0.5713523344313067,0.6319953523914938,0.46211803326436374
0.16833846,0.15225294,0.9301490625,0.710517021293835,0.554237180337174,0.6226909822424769,0.4522293089526291
0.16881771,0.1513722,0.9303987499999999,0.6826513668065299,0.6187395678122196,0.6490793226467229,0.48059801846359884
0.1685079,0.15196581,0.9303954375000001,0.6925256226925678,0.5952178521182176,0.640136321650191,0.47083416144197365
0.1678122,0.15525371,0.93035725,0.6807875462660258,0.6237447906363429,0.650806591445253,0.4824284614355365
0.16858712,0.17149404,0.9301620625,0.6557688114088869,0.6922359606098931,0.6734662086847948,0.5078101731094116
0.16884096,0.15524137,0.9282921875,0.6356886405500555,0.72844002157521,0.6788562499399327,0.5139503129341612
0.1684804,0.15014386,0.9322438125,0.6915477423826033,0.6299499266505262,0.6592361990550266,0.4917936286200316
0.16980903,0.15630442,0.9280136875,0.7797504176101757,0.4281631392541088,0.5527853181469546,0.38212187810836146
0.16641752,0.152381,0.9286291874999999,0.7796208390925989,0.43644813493451573,0.5595965882448912,0.38867469615374817
0.16616827,0.1532443,0.9315876875,0.6918756047443595,0.6179689664201609,0.6526543227018793,0.48444759403364435
0.16570309,0.14959195,0.930913375,0.6608516218760392,0.6907837398843695,0.6754222640677696,0.5100354939059555
0.16704689,0.14648634,0.9326681875,0.714096828850314,0.5882330561230668,0.6450276835932007,0.47613836153879285
0.16614266,0.15259877,0.92985375,0.6442702412756285,0.7282583897942969,0.6836374992840016,0.5194685107286137
0.16542505,0.14839008,0.931801375,0.7460246718172057,0.5213570781162283,0.6137765334915158,0.44289707712891624
0.16579399,0.14803588,0.9326166874999999,0.6999313461406718,0.6165612572431153,0.6555742355782566,0.48774253919623
0.1661839,0.17004251,0.9217058124999999,0.5934931112355183,0.7899106892171293,0.6775609907702947,0.5124553455797767
0.16496181,0.14733665,0.9329714375,0.6960227742023477,0.6312092682624826,0.6619754715548478,0.4948123495028417
0.16486344,0.15038928,0.932039125,0.7423215257534481,0.5300635721935814,0.6184875920490625,0.4478265231226225
0.1653197,0.14786698,0.9334850625,0.7115883364328977,0.6057848547194618,0.6543507617448485,0.4863055816745869
0.16381983,0.16047427,0.9330505,0.7282831311308856,0.5680419622761915,0.6382371359372672,0.46878415647778016
0.16564265,0.15379229,0.932796625,0.6965401832878213,0.6265263020928712,0.6596807459595121,0.49233216230657273
0.16293518,0.16919486,0.929792875,0.7508334175663016,0.4850833596607252,0.5893065151947181,0.41792890112757214
0.16364135,0.14357543,0.9342798125,0.7190943099746787,0.6038963268223505,0.6564606769248755,0.48871089785732075
0.16300277,0.14971802,0.9323934375,0.6742623042247361,0.6776255042272235,0.6758782213985901,0.5105294504685519
0.1640686,0.14698607,0.9323291874999999,0.6662146361735329,0.7021659440783397,0.6835762570376476,0.5193733460475962
0.16306108,0.14454988,0.9338716874999999,0.6870104240100531,0.6695242599708005,0.6781220795828167,0.5131367001831348
0.1637183,0.1432226,0.9344434375,0.7177022181217825,0.609263937272438,0.6590302082623531,0.4915655221484394
0.16432765,0.14445359,0.9336299375,0.7020820050798899,0.6286116205491379,0.6632783581224284,0.49628750679120326
0.16395839,0.15713778,0.9218796875,0.823735500846005,0.31536564686704793,0.4559651618437728,0.2956004595334126
0.16279513,0.14678314,0.9338015,0.7258408717270632,0.5839479422792244,0.6472069132872382,0.4785859188569661
0.16171804,0.14423957,0.933819,0.6841329140578543,0.6760261551202723,0.6800254340944263,0.5153067924290631
0.16144538,0.14384732,0.9342188124999999,0.7041874308859433,0.633583025396036,0.6670201639526083,0.5005541578497718
0.1614528,0.14394836,0.933958,0.7374450397234522,0.5661861333380983,0.6405656053650237,0.47131778099007404
0.16100338,0.14844209,0.933311,0.6729930326147472,0.6994925221535444,0.6859401039481012,0.5221901252404977
0.16300511,0.15540226,0.9341308125000001,0.7046005228917578,0.6318365582022238,0.6662214281754075,0.4996724505439829
0.161396,0.1471237,0.93293425,0.666017324507066,0.7149497828040712,0.6895081570359758,0.5263129477564006
0.16080515,0.14381999,0.9342281875,0.69510212678606,0.6552096325049959,0.6745351539169117,0.5090282814741581
0.1603605,0.14521341,0.9340528749999999,0.6946511956392754,0.6524829662081315,0.6729013020026353,0.507153273608884
0.16024029,0.14670934,0.932856625,0.663966644734906,0.7188070127634059,0.6902490637376437,0.5271494628356544
0.15945856,0.14579648,0.9339023125,0.7073557393187869,0.6214745750163152,0.6616101102517311,0.4944194535791916
0.15952556,0.15426117,0.9298358125,0.7847746144610037,0.4476058383945211,0.5698169364353434,0.39888261329758595
0.16056997,0.1415536,0.9353505,0.7205090204143481,0.6185418678569463,0.6656136671056367,0.4989516416899792
0.16065924,0.14284638,0.9347091875,0.7089834848430729,0.6316343696410996,0.6680483819921984,0.5016775589368392
0.1599448,0.14203057,0.93473125,0.7418938068935037,0.5707952299542729,0.6451925111605423,0.47636878976199704
0.15928003,0.14368275,0.9345939375000001,0.7174198145302649,0.6123153237030725,0.6606961553905879,0.4934396297972864
0.16024995,0.14757152,0.9341338125,0.6856501879756733,0.6785033063790058,0.6820073790303025,0.5176329116405103
0.15964095,0.14853266,0.93495825,0.7257131043528254,0.602914384836374,0.6586009604449464,0.49114176438109003
0.15859368,0.14312348,0.9345163125,0.7116109952569936,0.6235865199664786,0.6646279917871759,0.49783438782490586
0.15926264,0.14305584,0.9345994375,0.6972212661568193,0.6561885227524396,0.6760408152959392,0.5107080544520263
0.15875462,0.14422065,0.9339182500000001,0.7058679787198614,0.6256170666541299,0.6632484883477536,0.4962546907047416
0.15844436,0.14271674,0.934246375,0.7081653809667722,0.625389416179225,0.6641889164641963,0.497318599343041
0.15808564,0.18027104,0.9318461874999999,0.6689525208929271,0.6822103138392761,0.675490020269331,0.5100777637296477
0.15781766,0.14256722,0.93469425,0.7096823546279634,0.6298818381315454,0.667347543095772,0.500850552435241
0.15826243,0.14237316,0.934220625,0.7333204469986926,0.5769728257530915,0.6458173669602625,0.4770574610691883
0.15776025,0.14344148,0.9344751250000001,0.6994433256577612,0.6497595267040641,0.6735622776678836,0.5078777100273281
0.15773259,0.14444755,0.933811375,0.6997419449751993,0.6370046288493243,0.6668920047004392,0.5004079319053087
0.15702747,0.14614537,0.9335381875,0.6871905450063792,0.6628413380647935,0.674720863685645,0.5091825937163823
0.15732673,0.18387187,0.9331663125,0.6908096524391283,0.6474863204017262,0.668366782286417,0.5019965212741608
0.1578664,0.14391416,0.933896625,0.7173937686450007,0.6009353350793449,0.6539908490270682,0.4859505658400603
